goal	rule	score
parent(Y, _EX3)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX6, _EX2)	parent(cassana_estermont, stannis_baratheon)	1
parent(Y, _EX3)	parent(joanna_lannister, cersei_lannister)	1
parent(X, _EX0)	parent(unknown_mother_martell, ella_martell)	1
parent(X, _EX4)	parent(selyse_baratheon, shireen_baratheon)	1
parent(X, _EX0)	parent(kevan_lannister, lancel_lannister)	1
parent(X, _EX1)	parent(catelyn_stark, sansa_stark)	1
parent(X, Z)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(X, _EX1)	parent(oberyn_martell, tyene_sand)	1
parent(_EX6, _EX5)	parent(aerys_targaryen, viserys_targaryen)	1
parent(X, Y)	parent(ellaria_sand, tyene_sand)	1
parent(_EX3, tyrion_lannister)	parent(tywin_lannister, tyrion_lannister)	1
male(eddard_stark)	male(eddard_stark)	1
parent(tywin_lannister, _EX3)	parent(tywin_lannister, cersei_lannister)	1
parent(X, _EX1)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(X, _EX5)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(rhaella_targaryen, X)	parent(rhaella_targaryen, viserys_targaryen)	1
male(_EX0)	male(maron_greyjoy)	1
parent(Y, _EX3)	parent(ellaria_sand, four_unknown_martells)	1
female(_EX3)	female(cassana_estermont)	1
parent(X, _EX1)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX4, X)	parent(rickard_stark, brandon_stark)	1
parent(_EX2, X)	parent(joanna_lannister, jaime_lannister)	1
parent(X, Z)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(Y, X)	parent(cersei_lannister, joffery_lannister)	1
parent(X, Z)	parent(robert_baratheon, gendry)	1
status(X, Z)	status(stannis_baratheon, dead)	1
parent(_EX4, _EX0)	parent(cassana_estermont, robert_baratheon)	1
parent(Y, brandon_stark)	parent(unknown_mother_stark, brandon_stark)	1
parent(_EX4, _EX0)	parent(eddard_stark, arya_stark)	1
parent(X, _EX3)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(_EX2, X)	parent(catelyn_stark, rickon_stark)	1
parent(X, _EX5)	parent(cersei_lannister, tommen_lannister)	1
parent(X, _EX0)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX0, X)	parent(mace_tyrell, margaery_tyrell)	1
parent(X, _EX4)	parent(cassana_estermont, stannis_baratheon)	1
parent(_EX1, _EX3)	parent(catelyn_stark, sansa_stark)	1
female(_EX3)	female(rhaella_targaryen)	1
parent(_EX3, Z)	parent(steffon_baratheon, renly_baratheon)	1
parent(X, _EX5)	parent(tywin_lannister, cersei_lannister)	1
parent(_EX0, X)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
parent(_EX4, _EX0)	parent(unknown_mother_sand_2, nymeria_sand)	1
female(X)	female(elia_martell)	1
status(X, Y)	status(martyn_lannister, dead)	1
parent(Y, X)	parent(rhaella_targaryen, rhaegar_targaryen)	1
parent(X, Y)	parent(eddard_stark, bran_stark)	1
parent(_EX4, _EX0)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(oberyn_martell, Y)	parent(oberyn_martell, four_unknown_martells)	1
parent(jaime_lannister, _EX1)	parent(jaime_lannister, tommen_lannister)	1
parent(_EX5, _EX1)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
parent(tywin_lannister, _EX4)	parent(tywin_lannister, cersei_lannister)	1
parent(X, lyanna_stark)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX4, Z)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(_EX5, _EX1)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(X, _EX1)	parent(eddard_stark, arya_stark)	1
parent(_EX6, X)	parent(eddard_stark, sansa_stark)	1
parent(_EX3, rhaegar_targaryen)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(kevan_lannister, _EX1)	parent(kevan_lannister, martyn_lannister)	1
parent(_EX4, Z)	parent(rickard_stark, lyanna_stark)	1
parent(cersei_lannister, _EX4)	parent(cersei_lannister, myrcella_lannister)	1
parent(_EX2, X)	parent(olenna_tyrell, mace_tyrell)	1
male(_EX2)	male(eddard_stark)	1
parent(_EX5, aerys_targaryen)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(_EX1, _EX5)	parent(steffon_baratheon, stannis_baratheon)	1
daughter(daenerys_targaryen, _EX4)	daughter(X, Y) :- female(X), parent(Y, X)	1
parent(X, _EX0)	parent(unknown_mother_stark, brandon_stark)	1
parent(balon_greyjoy, _EX0)	parent(balon_greyjoy, yara_greyjoy)	1
parent(X, _EX4)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(_EX4, Z)	parent(doran_martell, trystane_martell)	1
parent(_EX2, X)	parent(catelyn_stark, arya_stark)	1
parent(_EX1, _EX3)	parent(alerie_hightower, margaery_tyrell)	1
ancestor(X, Y)	ancestor(X, Y) :- parent(X, Y)	1
parent(rickard_stark, X)	parent(rickard_stark, brandon_stark)	1
male(_EX2)	male(joffery_lannister)	1
status(Y, X)	status(maron_greyjoy, dead)	1
parent(_EX6, _EX2)	parent(cersei_lannister, myrcella_lannister)	1
parent(rhaegar_targaryen, _EX4)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(X, Y)	parent(alannys_harlaw, yara_greyjoy)	1
parent(_EX1, _EX5)	parent(joanna_lannister, tyrion_lannister)	1
parent(_EX4, _EX1)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(X, Y)	parent(catelyn_stark, bran_stark)	1
male(_EX0)	male(duncan_targaryen)	1
status(X, Y)	status(tytos_lannister, dead)	1
parent(_EX0, _EX1)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(tytos_lannister, X)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX3, X)	parent(rickard_stark, lyanna_stark)	1
ancestor(eddard_stark, Y)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX6, _EX2)	parent(unknown_mother_lannister, tywin_lannister)	1
female(_EX2)	female(rhaenys_targaryen)	1
parent(_EX0, _EX1)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(X, _EX1)	parent(jaime_lannister, tommen_lannister)	1
parent(cersei_lannister, _EX0)	parent(cersei_lannister, myrcella_lannister)	1
parent(_EX1, _EX5)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(_EX6, _EX2)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(X, _EX3)	parent(alannys_harlaw, maron_greyjoy)	1
parent(X, Y)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX3, X)	parent(doran_martell, trystane_martell)	1
parent(X, _EX0)	parent(ellaria_sand, tyene_sand)	1
parent(X, _EX1)	parent(oberyn_martell, sarella_sand)	1
parent(_EX0, X)	parent(elia_martell, rhaenys_targaryen)	1
parent(_EX4, _EX1)	parent(cersei_lannister, tommen_lannister)	1
male(renly_baratheon)	male(renly_baratheon)	1
parent(_EX0, balon_greyjoy)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(_EX4, X)	parent(alannys_harlaw, rodrick_greyjoy)	1
parent(_EX5, _EX1)	parent(kevan_lannister, willem_lannister)	1
parent(_EX3, tywin_lannister)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX0, _EX1)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
status(X, Z)	status(myrcella_lannister, dead)	1
parent(X, Z)	parent(eddard_stark, robb_stark)	1
male(benjen_stark)	male(benjen_stark)	1
parent(_EX2, X)	parent(unknown_mother_targaryen, aerys_targaryen)	1
male(_EX2)	male(benjen_stark)	1
parent(_EX1, kevan_lannister)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX4, _EX0)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX4)	parent(lewyn_martell, ella_martell)	1
parent(_EX6, _EX5)	parent(catelyn_stark, robb_stark)	1
parent(_EX1, _EX5)	parent(robert_baratheon, gendry)	1
parent(_EX1, _EX3)	parent(aegon_v_targaryen, duncan_targaryen)	1
parent(X, _EX4)	parent(cersei_lannister, myrcella_lannister)	1
parent(_EX2, X)	parent(oberyn_martell, nymeria_sand)	1
female(_EX0)	female(ellaria_sand)	1
parent(_EX0, _EX1)	parent(luthor_tyrell, mace_tyrell)	1
parent(mace_tyrell, _EX1)	parent(mace_tyrell, margaery_tyrell)	1
ancestor(tywin_lannister, joffery_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(_EX1, Z)	parent(doran_martell, trystane_martell)	1
parent(_EX2, X)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX4, X)	parent(catelyn_stark, sansa_stark)	1
female(_EX2)	female(cersei_lannister)	1
parent(_EX0, X)	parent(joanna_lannister, jaime_lannister)	1
parent(_EX4, X)	parent(oberyn_martell, tyene_sand)	1
parent(Y, tyrion_lannister)	parent(tywin_lannister, tyrion_lannister)	1
parent(X, _EX4)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(_EX5, _EX1)	parent(joanna_lannister, jaime_lannister)	1
parent(X, _EX1)	parent(steffon_baratheon, stannis_baratheon)	1
parent(_EX4, X)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX5, _EX1)	parent(aegon_v_targaryen, aerys_targaryen)	1
status(X, Y)	status(luthor_tyrell, dead)	1
parent(_EX0, X)	parent(catelyn_stark, rickon_stark)	1
parent(Y, _EX3)	parent(joanna_lannister, tyrion_lannister)	1
parent(eddard_stark, sansa_stark)	parent(eddard_stark, sansa_stark)	1
parent(X, _EX3)	parent(alannys_harlaw, theon_greyjoy)	1
parent(_EX4, Z)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(_EX5, X)	parent(unknown_father_greyjoy, balon_greyjoy)	1
female(catelyn_stark)	female(catelyn_stark)	1
parent(_EX5, _EX1)	parent(catelyn_stark, rickon_stark)	1
female(_EX0)	female(margaery_tyrell)	1
parent(_EX4, X)	parent(rhaegar_targaryen, jon_snow)	1
parent(X, _EX3)	parent(eddard_stark, rickon_stark)	1
parent(eddard_stark, _EX4)	parent(eddard_stark, arya_stark)	1
parent(Y, _EX3)	parent(rhaella_targaryen, viserys_targaryen)	1
betray(X, Y)	betray(jaime_lannister, cersei_lannister)	1
parent(_EX6, _EX5)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(rhaella_targaryen, _EX4)	parent(rhaella_targaryen, rhaegar_targaryen)	1
parent(Y, lyanna_stark)	parent(rickard_stark, lyanna_stark)	1
parent(X, jaime_lannister)	parent(tywin_lannister, jaime_lannister)	1
male(_EX2)	male(viserys_targaryen)	1
parent(_EX0, _EX1)	parent(unknown_mother_lannister, kevan_lannister)	1
status(X, Y)	status(kevan_lannister, dead)	1
status(X, Y)	status(jaime_lannister, dead)	1
parent(_EX3, Z)	parent(balon_greyjoy, yara_greyjoy)	1
ancestor(stannis_baratheon, _EX5)	ancestor(X, Y) :- parent(X, Y)	1
love(X, daenerys_targaryen)	love(jorah_mormont, daenerys_targaryen)	1
ancestor(doran_martell, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX3)	parent(alerie_hightower, loras_tyrell)	1
parent(X, Z)	parent(eddard_stark, sansa_stark)	1
parent(_EX0, X)	parent(olenna_tyrell, mace_tyrell)	1
status(Y, X)	status(cersei_lannister, dead)	1
parent(_EX4, _EX0)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(_EX3, Z)	parent(rickard_stark, eddard_stark)	1
parent(jaime_lannister, Z)	parent(jaime_lannister, joffery_lannister)	1
ancestor(tywin_lannister, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX5)	parent(rickard_stark, lyanna_stark)	1
parent(tywin_lannister, _EX0)	parent(tywin_lannister, jaime_lannister)	1
parent(Y, _EX3)	parent(robert_baratheon, gendry)	1
parent(X, Y)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(X, _EX4)	parent(alannys_harlaw, theon_greyjoy)	1
parent(eddard_stark, _EX1)	parent(eddard_stark, sansa_stark)	1
parent(_EX0, X)	parent(catelyn_stark, arya_stark)	1
parent(kevan_lannister, _EX0)	parent(kevan_lannister, lancel_lannister)	1
parent(_EX1, Z)	parent(cassana_estermont, robert_baratheon)	1
male(_EX2)	male(aegon_targaryen)	1
ancestor(_EX0, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(unknown_mother_greyjoy, _EX4)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(_EX6, _EX2)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(_EX3, Z)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(X, _EX1)	parent(rhaella_targaryen, rhaegar_targaryen)	1
parent(_EX5, _EX1)	parent(catelyn_stark, arya_stark)	1
parent(_EX2, X)	parent(tytos_lannister, tywin_lannister)	1
status(X, Z)	status(olenna_tyrell, dead)	1
parent(_EX0, _EX1)	parent(eddard_stark, robb_stark)	1
parent(X, _EX1)	parent(robert_baratheon, gendry)	1
parent(_EX4, _EX1)	parent(oberyn_martell, four_unknown_martells)	1
ancestor(_EX4, _EX0)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(_EX1, jaime_lannister)	parent(tywin_lannister, jaime_lannister)	1
love(X, Y)	love(daenerys_targaryen, jon_snow)	1
parent(_EX5, _EX1)	parent(olenna_tyrell, mace_tyrell)	1
parent(_EX3, Z)	parent(rhaella_targaryen, daenerys_targaryen)	1
ancestor(eddard_stark, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX1, Z)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(X, _EX4)	parent(alerie_hightower, loras_tyrell)	1
parent(_EX2, X)	parent(lewyn_martell, oberyn_martell)	1
parent(X, duncan_targaryen)	parent(aegon_v_targaryen, duncan_targaryen)	1
parent(_EX6, _EX5)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX0, _EX1)	parent(unknown_mother_stark, eddard_stark)	1
parent(X, _EX4)	parent(mellario_of_norvos, trystane_martell)	1
parent(_EX2, X)	parent(unknown_mother_stark, brandon_stark)	1
female(rhaella_targaryen)	female(rhaella_targaryen)	1
parent(X, aegon_targaryen)	parent(elia_martell, aegon_targaryen)	1
parent(_EX6, X)	parent(aegon_v_targaryen, duncan_targaryen)	1
parent(_EX2, X)	parent(oberyn_martell, four_unknown_martells)	1
status(X, Y)	status(willem_lannister, dead)	1
parent(robert_baratheon, X)	parent(robert_baratheon, gendry)	1
parent(_EX5, _EX1)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(_EX4, _EX0)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(doran_martell, _EX4)	parent(doran_martell, trystane_martell)	1
female(_EX3)	female(myrcella_lannister)	1
parent(X, _EX3)	parent(elia_martell, aegon_targaryen)	1
parent(_EX3, Z)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
parent(_EX1, _EX3)	parent(cersei_lannister, tommen_lannister)	1
male(_EX2)	male(willem_lannister)	1
female(_EX0)	female(unknown_mother_sand_3)	1
parent(_EX6, _EX5)	parent(elia_martell, aegon_targaryen)	1
female(X)	female(sarella_sand)	1
love(X, Y)	love(daenerys_targaryen, dario_naharis)	1
parent(_EX0, X)	parent(aerys_targaryen, viserys_targaryen)	1
female(X)	female(alerie_hightower)	1
parent(Y, X)	parent(balon_greyjoy, yara_greyjoy)	1
parent(_EX4, Z)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX5, X)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX2, X)	parent(catelyn_stark, robb_stark)	1
parent(_EX1, _EX5)	parent(tywin_lannister, tyrion_lannister)	1
status(thoros_of_myr, X)	status(thoros_of_myr, dead)	1
parent(_EX6, _EX2)	parent(stannis_baratheon, shireen_baratheon)	1
ancestor(X, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
ancestor(rhaegar_targaryen, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, Y)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(Y, X)	parent(rickard_stark, eddard_stark)	1
male(tyrion_lannister)	male(tyrion_lannister)	1
status(X, Y)	status(yara_greyjoy, alive)	1
parent(_EX1, Z)	parent(kevan_lannister, willem_lannister)	1
parent(X, Y)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(X, _EX3)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
mother(_EX1, _EX5)	mother(X, Y) :- female(X), parent(X, Y)	1
female(X)	female(catelyn_stark)	1
parent(X, _EX5)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(_EX0, stannis_baratheon)	parent(steffon_baratheon, stannis_baratheon)	1
female(_EX3)	female(joanna_lannister)	1
parent(rhaegar_targaryen, _EX5)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(_EX3, Z)	parent(alerie_hightower, margaery_tyrell)	1
status(X, Z)	status(aegon_v_targaryen, dead)	1
parent(X, rickon_stark)	parent(catelyn_stark, rickon_stark)	1
parent(Y, X)	parent(cassana_estermont, robert_baratheon)	1
parent(kevan_lannister, _EX5)	parent(kevan_lannister, willem_lannister)	1
parent(X, stannis_baratheon)	parent(cassana_estermont, stannis_baratheon)	1
parent(_EX5, _EX1)	parent(oberyn_martell, nymeria_sand)	1
parent(X, _EX5)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(_EX4, _EX0)	parent(alannys_harlaw, maron_greyjoy)	1
parent(Y, aerys_targaryen)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(X, _EX4)	parent(elia_martell, aegon_targaryen)	1
parent(X, Y)	parent(steffon_baratheon, robert_baratheon)	1
parent(_EX1, Z)	parent(mace_tyrell, loras_tyrell)	1
parent(_EX4, X)	parent(steffon_baratheon, stannis_baratheon)	1
parent(_EX0, rhaella_targaryen)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(kevan_lannister, _EX1)	parent(kevan_lannister, willem_lannister)	1
parent(_EX4, Z)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
female(_EX0)	female(sansa_stark)	1
parent(_EX4, _EX1)	parent(rickard_stark, lyanna_stark)	1
parent(_EX6, _EX5)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX3, stannis_baratheon)	parent(steffon_baratheon, stannis_baratheon)	1
parent(X, Y)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(_EX4, _EX0)	parent(tywin_lannister, cersei_lannister)	1
parent(eddard_stark, X)	parent(eddard_stark, bran_stark)	1
parent(_EX2, X)	parent(lyanna_stark, jon_snow)	1
parent(X, Z)	parent(catelyn_stark, sansa_stark)	1
parent(X, Z)	parent(oberyn_martell, tyene_sand)	1
parent(oberyn_martell, X)	parent(oberyn_martell, obara_sand)	1
parent(_EX4, _EX1)	parent(doran_martell, trystane_martell)	1
parent(_EX4, _EX0)	parent(alannys_harlaw, theon_greyjoy)	1
parent(_EX1, _EX5)	parent(eddard_stark, sansa_stark)	1
parent(_EX2, X)	parent(unknown_mother_stark, benjen_stark)	1
parent(_EX1, tywin_lannister)	parent(unknown_mother_lannister, tywin_lannister)	1
parent(X, Z)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX3, Z)	parent(aegon_v_targaryen, aerys_targaryen)	1
female(X)	female(alannys_harlaw)	1
female(X)	female(nymeria_sand)	1
parent(X, Y)	parent(lewyn_martell, doran_martell)	1
parent(balon_greyjoy, _EX3)	parent(balon_greyjoy, theon_greyjoy)	1
parent(X, _EX4)	parent(stannis_baratheon, shireen_baratheon)	1
parent(_EX5, _EX1)	parent(eddard_stark, rickon_stark)	1
parent(Y, X)	parent(mace_tyrell, margaery_tyrell)	1
parent(Y, joffery_lannister)	parent(jaime_lannister, joffery_lannister)	1
parent(_EX1, _EX3)	parent(steffon_baratheon, renly_baratheon)	1
status(X, Z)	status(walder_frey, dead)	1
male(unknown_father_greyjoy)	male(unknown_father_greyjoy)	1
parent(tywin_lannister, Y)	parent(tywin_lannister, tyrion_lannister)	1
ancestor(_EX4, Z)	ancestor(X, Y) :- parent(X, Y)	1
parent(Y, rhaegar_targaryen)	parent(rhaella_targaryen, rhaegar_targaryen)	1
parent(rhaegar_targaryen, _EX4)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX2, stannis_baratheon)	parent(cassana_estermont, stannis_baratheon)	1
parent(_EX1, _EX5)	parent(balon_greyjoy, yara_greyjoy)	1
parent(jaime_lannister, _EX1)	parent(jaime_lannister, myrcella_lannister)	1
parent(_EX1, _EX5)	parent(kevan_lannister, martyn_lannister)	1
parent(_EX6, _EX5)	parent(elia_martell, rhaenys_targaryen)	1
parent(X, _EX4)	parent(aerys_targaryen, rhaegar_targaryen)	1
